iter	Passed	Remaining
937	2805	27108
938	2809	27111
939	2814	27127
940	2817	27125
941	2822	27136
942	2825	27140
943	2829	27139
944	2832	27140
945	2836	27146
946	2839	27142
947	2842	27144
948	2846	27145
949	2849	27144
950	2851	27137
951	2854	27127
952	2856	27120
953	2859	27112
954	2863	27117
955	2866	27113
956	2869	27114
957	2872	27114
958	2877	27126
959	2881	27131
960	2883	27125
961	2886	27115
962	2888	27106
963	2890	27098
964	2893	27089
965	2896	27083
966	2898	27075
967	2901	27076
968	2904	27067
969	2906	27057
970	2910	27059
971	2912	27055
972	2915	27046
973	2917	27037
974	2920	27029
975	2922	27020
976	2925	27021
977	2933	27061
978	2936	27060
979	2939	27050
980	2942	27051
981	2946	27058
982	2949	27059
983	2953	27057
984	2955	27050
985	2959	27056
986	2962	27056
987	2966	27055
988	2968	27046
989	2970	27038
990	2974	27038
991	2977	27040
992	2980	27035
993	2983	27033
994	2987	27034
995	2990	27038
996	2993	27030
997	2995	27022
998	2998	27012
999	3000	27003
1000	3002	26993
1001	3005	26990
1002	3008	26983
1003	3011	26981
1004	3013	26972
1005	3015	26963
1006	3018	26953
1007	3022	26960
1008	3025	26958
1009	3027	26949
1010	3030	26942
1011	3032	26934
1012	3034	26924
1013	3038	26930
1014	3042	26931
1015	3044	26921
1016	3047	26921
1017	3051	26919
1018	3054	26924
1019	3057	26921
1020	3060	26914
1021	3062	26905
1022	3064	26895
1023	3067	26884
1024	3069	26876
1025	3071	26865
1026	3073	26854
1027	3076	26847
1028	3078	26841
1029	3082	26841
1030	3084	26833
1031	3087	26831
1032	3090	26826
1033	3093	26820
1034	3095	26811
1035	3097	26805
1036	3101	26803
1037	3105	26808
1038	3108	26809
1039	3111	26805
1040	3113	26798
1041	3117	26800
1042	3122	26819
1043	3126	26818
1044	3128	26812
1045	3131	26804
1046	3133	26798
1047	3138	26806
1048	3142	26815
1049	3145	26807
1050	3147	26802
1051	3153	26825
1052	3157	26827
1053	3159	26818
1054	3162	26810
1055	3164	26802
1056	3167	26797
1057	3172	26813
1058	3175	26813
1059	3178	26805
1060	3180	26797
1061	3185	26806
1062	3188	26804
1063	3191	26800
1064	3195	26805
1065	3198	26805
1066	3202	26808
1067	3205	26808
1068	3207	26800
1069	3210	26792
1070	3212	26785
1071	3215	26781
1072	3217	26771
1073	3219	26760
1074	3222	26753
1075	3224	26745
1076	3227	26738
1077	3229	26729
1078	3233	26732
1079	3236	26727
1080	3238	26718
1081	3240	26711
1082	3243	26702
1083	3246	26702
1084	3249	26696
1085	3253	26706
1086	3257	26706
1087	3259	26697
1088	3264	26711
1089	3267	26707
1090	3269	26700
1091	3272	26691
1092	3274	26681
1093	3276	26676
1094	3279	26668
1095	3281	26662
1096	3284	26653
1097	3286	26644
1098	3288	26636
1099	3291	26628
1100	3293	26620
1101	3297	26624
1102	3299	26616
1103	3302	26608
1104	3304	26601
1105	3306	26593
1106	3310	26593
1107	3314	26596
1108	3317	26598
1109	3319	26589
1110	3322	26585
1111	3330	26616
1112	3334	26627
1113	3337	26618
1114	3341	26626
1115	3345	26628
1116	3348	26627
1117	3351	26622
1118	3353	26615
1119	3355	26608
1120	3358	26600
1121	3361	26594
1122	3363	26586
1123	3366	26582
1124	3368	26576
1125	3371	26568
1126	3373	26559
1127	3377	26566
1128	3380	26564
1129	3383	26556
1130	3385	26547
1131	3387	26540
1132	3390	26538
1133	3394	26538
1134	3401	26568
1135	3404	26564
1136	3410	26583
1137	3412	26576
1138	3415	26571
1139	3417	26561
1140	3420	26553
1141	3422	26546
1142	3425	26540
1143	3427	26533
1144	3429	26524
1145	3431	26514
1146	3434	26507
1147	3436	26499
1148	3441	26507
1149	3443	26499
1150	3445	26489
1151	3447	26481
1152	3449	26471
1153	3452	26462
1154	3456	26470
1155	3461	26483
1156	3464	26477
1157	3466	26469
1158	3470	26475
1159	3475	26486
1160	3478	26481
1161	3480	26474
1162	3483	26465
1163	3485	26458
1164	3489	26462
1165	3492	26458
1166	3494	26452
1167	3498	26454
1168	3501	26451
1169	3505	26455
1170	3508	26456
1171	3511	26451
1172	3514	26444
1173	3517	26441
1174	3520	26440
1175	3523	26440
1176	3527	26443
1177	3530	26436
1178	3532	26429
1179	3536	26432
1180	3540	26436
1181	3542	26429
1182	3544	26420
1183	3547	26412
1184	3550	26413
1185	3557	26436
1186	3559	26430
1187	3562	26424
1188	3564	26416
1189	3568	26417
1190	3571	26413
1191	3573	26405
1192	3576	26405
1193	3579	26401
1194	3582	26399
1195	3587	26406
1196	3589	26400
1197	3592	26392
1198	3594	26383
1199	3596	26377
1200	3599	26372
1201	3603	26374
1202	3605	26364
1203	3607	26355
1204	3609	26347
1205	3612	26338
1206	3614	26330
1207	3618	26336
1208	3622	26338
1209	3624	26330
1210	3626	26322
1211	3629	26315
1212	3632	26315
1213	3637	26327
1214	3641	26328
1215	3643	26321
1216	3646	26319
1217	3651	26327
1218	3655	26330
1219	3657	26322
1220	3659	26313
1221	3662	26308
1222	3667	26323
1223	3670	26320
1224	3673	26312
1225	3676	26314
1226	3680	26315
1227	3683	26315
1228	3686	26308
1229	3688	26300
1230	3691	26293
1231	3693	26288
1232	3696	26285
1233	3699	26283
1234	3702	26275
1235	3705	26274
1236	3708	26269
1237	3711	26271
1238	3715	26269
1239	3717	26262
1240	3719	26253
1241	3721	26244
1242	3724	26237
1243	3726	26229
1244	3732	26246
1245	3735	26244
1246	3738	26238
1247	3740	26231
1248	3743	26231
1249	3747	26230
1250	3749	26223
1251	3752	26217
1252	3755	26217
1253	3758	26213
1254	3761	26212
1255	3766	26219
1256	3768	26214
1257	3771	26207
1258	3773	26199
1259	3776	26196
1260	3781	26208
1261	3784	26203
1262	3786	26195
1263	3788	26186
1264	3791	26183
1265	3795	26186
1266	3798	26184
1267	3807	26221
1268	3812	26227
1269	3816	26237
1270	3820	26241
1271	3825	26248
1272	3829	26255
1273	3832	26246
1274	3834	26240
1275	3836	26233
1276	3839	26228
1277	3842	26221
1278	3845	26221
1279	3847	26213
1280	3850	26205
1281	3852	26197
1282	3854	26191
1283	3859	26199
1284	3862	26196
1285	3864	26185
1286	3867	26182
1287	3870	26176
1288	3873	26177
1289	3877	26182
1290	3880	26175
1291	3882	26168
1292	3886	26168
1293	3891	26178
1294	3893	26174
1295	3896	26166
1296	3898	26157
1297	3900	26150
1298	3904	26151
1299	3906	26143
1300	3909	26139
1301	3912	26136
1302	3915	26134
1303	3918	26129
1304	3922	26133
1305	3925	26129
1306	3928	26126
1307	3930	26119
1308	3932	26110
1309	3935	26104
1310	3939	26112
1311	3942	26106
1312	3944	26099
1313	3947	26092
1314	3949	26085
1315	3953	26085
1316	3956	26081
1317	3958	26075
1318	3961	26075
1319	3964	26068
1320	3967	26068
1321	3970	26065
1322	3973	26060
1323	3976	26055
1324	3978	26049
1325	3981	26042
1326	3983	26035
1327	3985	26027
1328	3988	26019
1329	3990	26012
1330	3992	26003
1331	3994	25996
1332	3997	25988
1333	4000	25989
1334	4004	25990
1335	4006	25984
1336	4009	25978
1337	4011	25970
1338	4013	25961
1339	4017	25962
1340	4022	25971
1341	4025	25968
1342	4027	25962
1343	4029	25954
1344	4034	25960
1345	4037	25956
1346	4039	25950
1347	4041	25942
1348	4044	25934
1349	4046	25925
1350	4048	25919
1351	4051	25914
1352	4053	25907
1353	4055	25899
1354	4058	25892
1355	4060	25884
